user_id,recommended_books
user_2378720,911259|983687|603518|927251|829630|510103|137042|660625|896456|319703
user_2321122,415201|191876|697978|940946|207348|721678|315802|659399|855185|706204
user_2335775,952353|266309|107568|206105|848851|656921|488196|244464|145383|618172
user_7906001,374721|769102|781180|848244|535320|704349|596771|570103|540656|240386
user_9981689,752801|105409|265001|544692|834815|487380|188501|223928|742818|222227
user_4043461,355528|290724|954225|860585|193387|333020|701056|269257|999474|641198
user_5371078,977634|477717|785836|276919|521943|810189|555401|365045|572445|749785
user_0491816,609529|952646|894586|855829|480977|648779|791646|535457|387348|230117
user_5960233,335122|291542|353542|452139|465887|784219|708614|681078|330374|543281
user_0289323,237654|236014|238599|105466|134144|924047|994199|631297|932978|508091
user_5631397,749758|264458|993415|549112|213132|284055|454140|252698|630734|989735
user_5555606,451383|570988|410158|978116|607690|622332|107482|539673|232126|885290
user_2830115,395307|126008|875758|460857|419939|644861|248548|203540|915437|185927
user_0034184,211028|243928|857703|849579|292355|166240|964446|868804|381558|257538
user_0457380,308376|412534|444412|198886|416181|620438|589762|514664|499442|765282
user_4208686,546772|575279|280172|286638|530321|959222|549946|214582|562543|525146
user_1046136,403524|144283|828252|855829|471921|480977|226550|397514|106029|715698
user_5013967,857329|733941|838889|857830|138801|946485|291031|282055|615276|350875
user_0718605,433222|357516|717429|176452|207392|114892|874879|936917|742731|398357
user_7917393,420415|858472|542882|871043|408929|914992|190259|232126|897435|166240
user_1962982,262240|802615|966621|750817|966662|343904|938672|803176|605590|488918
user_4012548,446297|889794|693246|381880|624514|830650|999596|742865|518740|113406
user_6337804,309341|196973|367747|642892|560282|557037|935750|332873|988845|842136
user_5493104,583100|669508|625021|241822|111214|645205|326122|578364|757233|189913
user_4437457,460875|686252|384218|289131|233620|359178|423047|335496|228074|781676
user_9262372,559094|345076|824061|138436|852485|306879|608768|540467|158627|651001
user_8048514,752801|916628|332548|353288|210280|263044|867080|838889|321634|769078
user_7268310,822303|813745|104877|923892|296243|201593|746901|268956|510087|310394
user_2371926,365406|497859|897435|854701|232126|128142|435209|268132|611133|548945
user_9061397,487233|544613|683347|425903|755910|191549|726612|680557|948097|464187
user_1475398,776106|592489|425903|755910|695791|208711|398433|196402|516814|191549
user_9941809,521943|446569|923073|347625|193563|874879|389362|202397|608072|168209
